start_neighborhood,trip_duration
Hell's Kitchen,1178.0
Murray Hill-Kips Bay,1826.0
East Midtown-Turtle Bay,1792.0
Lower East Side,661.0
Financial District-Battery Park City,1017.0
Chelsea-Hudson Yards,180.0
Gramercy,1883.0
Chelsea-Hudson Yards,601.0
Midtown-Times Square,311.0
Midtown South-Flatiron-Union Square,350.0
Tribeca-Civic Center,1197.0
East Village,576.0
Brooklyn Heights,573.0
Midtown South-Flatiron-Union Square,339.0
Tribeca-Civic Center,938.0
Greenwich Village,1583.0
Murray Hill-Kips Bay,1034.0
Chinatown-Two Bridges,508.0
Midtown South-Flatiron-Union Square,599.0
Murray Hill-Kips Bay,1660.0
Chelsea-Hudson Yards,257.0
Tribeca-Civic Center,440.0
SoHo-Little Italy-Hudson Square,338.0
East Village,839.0
Midtown South-Flatiron-Union Square,484.0
Lower East Side,536.0
Brooklyn Heights,1355.0
Lower East Side,1327.0
East Village,1766.0
Tribeca-Civic Center,615.0
Chelsea-Hudson Yards,743.0
Financial District-Battery Park City,1008.0
Hell's Kitchen,1470.0
East Village,729.0
Chelsea-Hudson Yards,486.0
Lower East Side,1234.0
Hell's Kitchen,580.0
Hell's Kitchen,605.0
Midtown South-Flatiron-Union Square,596.0
SoHo-Little Italy-Hudson Square,1767.0
Murray Hill-Kips Bay,814.0
Hell's Kitchen,927.0
West Village,265.0
Greenwich Village,431.0
Fort Greene,369.0
SoHo-Little Italy-Hudson Square,222.0
Murray Hill-Kips Bay,1616.0
East Midtown-Turtle Bay,742.0
Greenwich Village,236.0
Chelsea-Hudson Yards,931.0
Murray Hill-Kips Bay,389.0
Midtown South-Flatiron-Union Square,514.0
Tribeca-Civic Center,378.0
Greenwich Village,128.0
Murray Hill-Kips Bay,658.0
East Midtown-Turtle Bay,1285.0
SoHo-Little Italy-Hudson Square,496.0
Greenwich Village,615.0
Chelsea-Hudson Yards,341.0
East Village,270.0
Chelsea-Hudson Yards,1237.0
Midtown South-Flatiron-Union Square,1185.0
SoHo-Little Italy-Hudson Square,467.0
Midtown-Times Square,71.0
Murray Hill-Kips Bay,568.0
Chelsea-Hudson Yards,1003.0
Greenwich Village,1517.0
SoHo-Little Italy-Hudson Square,366.0
SoHo-Little Italy-Hudson Square,486.0
Chelsea-Hudson Yards,432.0
Stuyvesant Town-Peter Cooper Village,361.0
Financial District-Battery Park City,424.0
Chinatown-Two Bridges,272.0
Financial District-Battery Park City,1204.0
Financial District-Battery Park City,496.0
Midtown South-Flatiron-Union Square,1079.0
Lower East Side,1270.0
Financial District-Battery Park City,1005.0
Gramercy,168.0
Chelsea-Hudson Yards,1667.0
Chelsea-Hudson Yards,1964.0
Midtown-Times Square,539.0
Financial District-Battery Park City,584.0
Chelsea-Hudson Yards,850.0
Lower East Side,810.0
Greenwich Village,522.0
Midtown-Times Square,465.0
Upper East Side-Lenox Hill-Roosevelt Island,1338.0
Downtown Brooklyn-DUMBO-Boerum Hill,315.0
East Midtown-Turtle Bay,506.0
Chelsea-Hudson Yards,1634.0
West Village,210.0
Chinatown-Two Bridges,641.0
Tribeca-Civic Center,1666.0
Midtown-Times Square,291.0
Midtown-Times Square,488.0
Hell's Kitchen,417.0
Lower East Side,1183.0
Williamsburg,123.0
East Midtown-Turtle Bay,470.0
Greenwich Village,362.0
Murray Hill-Kips Bay,603.0
Gramercy,752.0
Downtown Brooklyn-DUMBO-Boerum Hill,700.0
Central Park,1582.0
Greenwich Village,573.0
East Village,455.0
Murray Hill-Kips Bay,657.0
Lower East Side,1279.0
East Village,1231.0
Midtown-Times Square,398.0
Midtown South-Flatiron-Union Square,278.0
Downtown Brooklyn-DUMBO-Boerum Hill,457.0
East Village,470.0
Murray Hill-Kips Bay,524.0
Midtown South-Flatiron-Union Square,630.0
SoHo-Little Italy-Hudson Square,101.0
Financial District-Battery Park City,187.0
Midtown-Times Square,664.0
SoHo-Little Italy-Hudson Square,1616.0
East Midtown-Turtle Bay,734.0
Midtown South-Flatiron-Union Square,421.0
Financial District-Battery Park City,1645.0
Midtown-Times Square,521.0
Murray Hill-Kips Bay,741.0
Tribeca-Civic Center,339.0
Financial District-Battery Park City,947.0
Chelsea-Hudson Yards,718.0
Upper West Side-Lincoln Square,970.0
Financial District-Battery Park City,1717.0
Midtown South-Flatiron-Union Square,244.0
Downtown Brooklyn-DUMBO-Boerum Hill,694.0
Hell's Kitchen,1603.0
Lower East Side,838.0
Lower East Side,1769.0
West Village,1582.0
East Midtown-Turtle Bay,326.0
Chelsea-Hudson Yards,796.0
Midtown-Times Square,463.0
East Village,217.0
Stuyvesant Town-Peter Cooper Village,1361.0
West Village,775.0
Tribeca-Civic Center,269.0
Midtown South-Flatiron-Union Square,470.0
Murray Hill-Kips Bay,1210.0
Chelsea-Hudson Yards,735.0
Midtown-Times Square,800.0
SoHo-Little Italy-Hudson Square,379.0
Murray Hill-Kips Bay,998.0
West Village,632.0
Murray Hill-Kips Bay,438.0
Greenwich Village,357.0
Murray Hill-Kips Bay,962.0
Greenwich Village,530.0
Greenwich Village,685.0
Bedford-Stuyvesant (West),342.0
East Village,461.0
Chelsea-Hudson Yards,927.0
Midtown South-Flatiron-Union Square,488.0
Lower East Side,859.0
Chelsea-Hudson Yards,276.0
Lower East Side,412.0
Midtown-Times Square,272.0
West Village,345.0
East Midtown-Turtle Bay,473.0
East Midtown-Turtle Bay,333.0
SoHo-Little Italy-Hudson Square,836.0
Midtown South-Flatiron-Union Square,879.0
West Village,926.0
East Midtown-Turtle Bay,1555.0
Greenwich Village,1463.0
East Village,1112.0
Greenwich Village,531.0
Hell's Kitchen,356.0
East Village,517.0
Midtown-Times Square,636.0
Gramercy,562.0
Chelsea-Hudson Yards,458.0
Chelsea-Hudson Yards,1374.0
East Village,658.0
Chinatown-Two Bridges,2133.0
Greenwich Village,1234.0
SoHo-Little Italy-Hudson Square,641.0
Gramercy,771.0
Lower East Side,544.0
Chelsea-Hudson Yards,1207.0
Midtown South-Flatiron-Union Square,697.0
Gramercy,1156.0
Midtown South-Flatiron-Union Square,295.0
Midtown-Times Square,667.0
Greenwich Village,783.0
Lower East Side,500.0
Chelsea-Hudson Yards,1096.0
Lower East Side,380.0
East Midtown-Turtle Bay,564.0
Greenwich Village,418.0
Midtown South-Flatiron-Union Square,336.0
SoHo-Little Italy-Hudson Square,1230.0
Chelsea-Hudson Yards,712.0
Chelsea-Hudson Yards,235.0
Murray Hill-Kips Bay,224.0
Midtown South-Flatiron-Union Square,402.0
Chelsea-Hudson Yards,1263.0
Tribeca-Civic Center,657.0
Tribeca-Civic Center,631.0
East Midtown-Turtle Bay,635.0
Murray Hill-Kips Bay,1103.0
Chelsea-Hudson Yards,606.0
Financial District-Battery Park City,901.0
Stuyvesant Town-Peter Cooper Village,1034.0
Financial District-Battery Park City,437.0
Murray Hill-Kips Bay,1428.0
Hell's Kitchen,544.0
Hell's Kitchen,159.0
Chelsea-Hudson Yards,265.0
West Village,934.0
East Village,519.0
Hell's Kitchen,997.0
Chelsea-Hudson Yards,343.0
Tribeca-Civic Center,303.0
Midtown-Times Square,451.0
SoHo-Little Italy-Hudson Square,1719.0
Financial District-Battery Park City,1300.0
Midtown South-Flatiron-Union Square,619.0
Lower East Side,458.0
Tribeca-Civic Center,549.0
Gramercy,741.0
The Battery-Governors Island-Ellis Island-Liberty Island,984.0
Clinton Hill,260.0
Chelsea-Hudson Yards,1148.0
Financial District-Battery Park City,1069.0
West Village,276.0
West Village,1596.0
Murray Hill-Kips Bay,298.0
Greenwich Village,352.0
Hell's Kitchen,1217.0
Brooklyn Heights,460.0
Midtown-Times Square,359.0
Bedford-Stuyvesant (West),689.0
Chelsea-Hudson Yards,472.0
Gramercy,846.0
Greenwich Village,623.0
Murray Hill-Kips Bay,486.0
Financial District-Battery Park City,240.0
Tribeca-Civic Center,1285.0
Chelsea-Hudson Yards,118.0
Midtown South-Flatiron-Union Square,1196.0
East Village,336.0
Tribeca-Civic Center,1781.0
Financial District-Battery Park City,216.0
Midtown-Times Square,465.0
Lower East Side,443.0
Murray Hill-Kips Bay,325.0
Midtown-Times Square,205.0
Chinatown-Two Bridges,1849.0
East Midtown-Turtle Bay,541.0
Chelsea-Hudson Yards,608.0
Murray Hill-Kips Bay,574.0
Murray Hill-Kips Bay,1270.0
Chinatown-Two Bridges,1490.0
Lower East Side,412.0
Tribeca-Civic Center,623.0
Financial District-Battery Park City,134.0
East Midtown-Turtle Bay,1748.0
West Village,416.0
Midtown South-Flatiron-Union Square,411.0
Midtown South-Flatiron-Union Square,1185.0
Bedford-Stuyvesant (West),724.0
West Village,442.0
East Village,1482.0
Chelsea-Hudson Yards,522.0
Financial District-Battery Park City,1833.0
Chinatown-Two Bridges,1025.0
East Village,1589.0
Financial District-Battery Park City,317.0
Chelsea-Hudson Yards,394.0
Midtown-Times Square,556.0
West Village,1086.0
Greenwich Village,766.0
Greenwich Village,525.0
Midtown-Times Square,976.0
Tribeca-Civic Center,569.0
Midtown-Times Square,651.0
Murray Hill-Kips Bay,1030.0
Stuyvesant Town-Peter Cooper Village,1108.0
Financial District-Battery Park City,1319.0
East Midtown-Turtle Bay,528.0
Fort Greene,723.0
Midtown-Times Square,457.0
East Midtown-Turtle Bay,761.0
Hell's Kitchen,723.0
Tribeca-Civic Center,1296.0
Chelsea-Hudson Yards,2030.0
Financial District-Battery Park City,551.0
Hell's Kitchen,1208.0
Central Park,1638.0
Bedford-Stuyvesant (West),523.0
West Village,1024.0
Downtown Brooklyn-DUMBO-Boerum Hill,1446.0
Lower East Side,263.0
West Village,636.0
Bedford-Stuyvesant (West),682.0
Financial District-Battery Park City,1316.0
Midtown South-Flatiron-Union Square,559.0
Midtown-Times Square,237.0
Financial District-Battery Park City,1480.0
West Village,841.0
Midtown South-Flatiron-Union Square,327.0
Brooklyn Heights,204.0
Upper West Side-Lincoln Square,809.0
Chelsea-Hudson Yards,449.0
Greenwich Village,1058.0
Midtown-Times Square,494.0
West Village,1826.0
Chelsea-Hudson Yards,1384.0
Financial District-Battery Park City,744.0
Midtown South-Flatiron-Union Square,381.0
Financial District-Battery Park City,488.0
Midtown South-Flatiron-Union Square,517.0
Greenwich Village,597.0
Murray Hill-Kips Bay,907.0
SoHo-Little Italy-Hudson Square,1408.0
Tribeca-Civic Center,1517.0
East Village,1380.0
Greenwich Village,1433.0
Midtown South-Flatiron-Union Square,529.0
Chelsea-Hudson Yards,1316.0
Stuyvesant Town-Peter Cooper Village,644.0
Chelsea-Hudson Yards,1114.0
Gramercy,833.0
Greenwich Village,791.0
Midtown-Times Square,1276.0
Midtown South-Flatiron-Union Square,436.0
Hell's Kitchen,2065.0
Downtown Brooklyn-DUMBO-Boerum Hill,390.0
Midtown South-Flatiron-Union Square,831.0
Murray Hill-Kips Bay,758.0
Downtown Brooklyn-DUMBO-Boerum Hill,976.0
East Village,1393.0
SoHo-Little Italy-Hudson Square,820.0
SoHo-Little Italy-Hudson Square,1412.0
Chelsea-Hudson Yards,287.0
Financial District-Battery Park City,1894.0
Greenwich Village,809.0
Financial District-Battery Park City,163.0
Midtown-Times Square,392.0
Chinatown-Two Bridges,1860.0
East Midtown-Turtle Bay,1154.0
Chelsea-Hudson Yards,1640.0
Gramercy,285.0
Chelsea-Hudson Yards,1212.0
East Village,1040.0
Greenwich Village,325.0
West Village,377.0
Downtown Brooklyn-DUMBO-Boerum Hill,1764.0
Williamsburg,1580.0
Greenwich Village,1175.0
Midtown South-Flatiron-Union Square,119.0
Hell's Kitchen,731.0
Tribeca-Civic Center,787.0
Murray Hill-Kips Bay,2052.0
West Village,1229.0
Chelsea-Hudson Yards,424.0
Midtown South-Flatiron-Union Square,1106.0
Midtown-Times Square,362.0
Chelsea-Hudson Yards,303.0
Greenwich Village,674.0
Downtown Brooklyn-DUMBO-Boerum Hill,753.0
SoHo-Little Italy-Hudson Square,708.0
Chelsea-Hudson Yards,1080.0
Murray Hill-Kips Bay,205.0
Lower East Side,324.0
East Village,636.0
Financial District-Battery Park City,1379.0
Financial District-Battery Park City,1451.0
Chelsea-Hudson Yards,1111.0
East Village,2062.0
Fort Greene,1526.0
West Village,764.0
Tribeca-Civic Center,1588.0
Brooklyn Heights,699.0
Hell's Kitchen,964.0
Financial District-Battery Park City,1886.0
Chinatown-Two Bridges,252.0
Chinatown-Two Bridges,917.0
Downtown Brooklyn-DUMBO-Boerum Hill,1237.0
East Midtown-Turtle Bay,2076.0
Lower East Side,1461.0
Tribeca-Civic Center,765.0
Financial District-Battery Park City,796.0
Greenwich Village,183.0
West Village,248.0
Chelsea-Hudson Yards,586.0
Chelsea-Hudson Yards,554.0
Greenwich Village,993.0
Greenwich Village,300.0
Hell's Kitchen,714.0
East Village,975.0
East Village,162.0
East Village,1862.0
Hell's Kitchen,506.0
Downtown Brooklyn-DUMBO-Boerum Hill,1785.0
Chelsea-Hudson Yards,602.0
Greenwich Village,525.0
Brooklyn Heights,258.0
Financial District-Battery Park City,831.0
Park Slope,1233.0
Williamsburg,1188.0
Stuyvesant Town-Peter Cooper Village,708.0
Chelsea-Hudson Yards,435.0
Lower East Side,1128.0
Midtown-Times Square,1259.0
Gramercy,1155.0
Gramercy,487.0
Hell's Kitchen,620.0
East Village,678.0
Midtown South-Flatiron-Union Square,556.0
Greenwich Village,1545.0
Financial District-Battery Park City,970.0
Murray Hill-Kips Bay,1745.0
East Village,422.0
Midtown South-Flatiron-Union Square,1226.0
Financial District-Battery Park City,1492.0
East Village,685.0
Midtown-Times Square,475.0
Chelsea-Hudson Yards,1389.0
Financial District-Battery Park City,406.0
Financial District-Battery Park City,1075.0
Greenwich Village,500.0
Greenwich Village,335.0
East Village,339.0
Clinton Hill,217.0
Midtown-Times Square,558.0
East Village,213.0
Midtown-Times Square,1480.0
Midtown-Times Square,589.0
Greenwich Village,270.0
Murray Hill-Kips Bay,970.0
Lower East Side,391.0
East Village,534.0
Midtown South-Flatiron-Union Square,424.0
Chelsea-Hudson Yards,323.0
East Village,773.0
Gramercy,452.0
Midtown-Times Square,221.0
Chelsea-Hudson Yards,809.0
Midtown-Times Square,774.0
Midtown-Times Square,1275.0
Chelsea-Hudson Yards,1189.0
East Midtown-Turtle Bay,1018.0
Upper West Side-Lincoln Square,1627.0
Midtown South-Flatiron-Union Square,445.0
Lower East Side,207.0
Murray Hill-Kips Bay,1900.0
Downtown Brooklyn-DUMBO-Boerum Hill,803.0
Hell's Kitchen,1537.0
Chelsea-Hudson Yards,484.0
Chelsea-Hudson Yards,288.0
Tribeca-Civic Center,375.0
Chelsea-Hudson Yards,393.0
Midtown-Times Square,375.0
Greenwich Village,419.0
Murray Hill-Kips Bay,572.0
Greenwich Village,1057.0
Chelsea-Hudson Yards,1210.0
Greenwich Village,781.0
West Village,528.0
Chelsea-Hudson Yards,918.0
Gramercy,1506.0
Midtown South-Flatiron-Union Square,653.0
Murray Hill-Kips Bay,626.0
East Village,1420.0
Downtown Brooklyn-DUMBO-Boerum Hill,566.0
Financial District-Battery Park City,2102.0
Chelsea-Hudson Yards,367.0
Fort Greene,1439.0
Midtown South-Flatiron-Union Square,917.0
SoHo-Little Italy-Hudson Square,801.0
Williamsburg,475.0
West Village,411.0
Chelsea-Hudson Yards,466.0
Murray Hill-Kips Bay,982.0
Hell's Kitchen,2119.0
Chinatown-Two Bridges,336.0
Tribeca-Civic Center,1136.0
Murray Hill-Kips Bay,191.0
Murray Hill-Kips Bay,561.0
Chelsea-Hudson Yards,951.0
Hell's Kitchen,251.0
Chelsea-Hudson Yards,505.0
East Village,265.0
Midtown South-Flatiron-Union Square,218.0
Tribeca-Civic Center,940.0
West Village,387.0
Financial District-Battery Park City,939.0
Financial District-Battery Park City,1603.0
Financial District-Battery Park City,1859.0
SoHo-Little Italy-Hudson Square,713.0
East Village,218.0
Midtown-Times Square,479.0
Williamsburg,1502.0
West Village,1797.0
East Village,2042.0
Financial District-Battery Park City,776.0
Chelsea-Hudson Yards,1837.0
Tribeca-Civic Center,1604.0
East Village,419.0
West Village,308.0
Murray Hill-Kips Bay,277.0
Midtown-Times Square,683.0
Lower East Side,673.0
Greenwich Village,571.0
Chinatown-Two Bridges,1674.0
Midtown South-Flatiron-Union Square,1279.0
Chelsea-Hudson Yards,1342.0
Midtown South-Flatiron-Union Square,1090.0
East Midtown-Turtle Bay,962.0
Murray Hill-Kips Bay,2062.0
Greenwich Village,640.0
Gramercy,380.0
East Village,503.0
East Village,320.0
Stuyvesant Town-Peter Cooper Village,1325.0
Financial District-Battery Park City,522.0
East Midtown-Turtle Bay,1632.0
Murray Hill-Kips Bay,329.0
Central Park,225.0
West Village,568.0
Clinton Hill,1508.0
Chelsea-Hudson Yards,1229.0
West Village,593.0
Midtown South-Flatiron-Union Square,1275.0
Chelsea-Hudson Yards,285.0
East Midtown-Turtle Bay,865.0
Chelsea-Hudson Yards,661.0
West Village,443.0
Chinatown-Two Bridges,2128.0
Murray Hill-Kips Bay,498.0
Midtown-Times Square,595.0
Gramercy,1161.0
Financial District-Battery Park City,139.0
Greenwich Village,613.0
Chelsea-Hudson Yards,531.0
Tribeca-Civic Center,1706.0
Midtown South-Flatiron-Union Square,373.0
Midtown South-Flatiron-Union Square,513.0
Midtown-Times Square,418.0
East Village,569.0
Financial District-Battery Park City,983.0
West Village,185.0
East Midtown-Turtle Bay,719.0
Greenwich Village,764.0
Chelsea-Hudson Yards,956.0
Downtown Brooklyn-DUMBO-Boerum Hill,968.0
Chelsea-Hudson Yards,291.0
Greenwich Village,822.0
Greenwich Village,651.0
Financial District-Battery Park City,1417.0
Hell's Kitchen,650.0
Brooklyn Heights,717.0
Lower East Side,206.0
East Village,632.0
West Village,787.0
Midtown-Times Square,1127.0
Chelsea-Hudson Yards,322.0
Chelsea-Hudson Yards,470.0
Lower East Side,366.0
Financial District-Battery Park City,1891.0
Greenwich Village,715.0
West Village,374.0
Chelsea-Hudson Yards,559.0
Chinatown-Two Bridges,567.0
Midtown-Times Square,586.0
Financial District-Battery Park City,2065.0
Hell's Kitchen,357.0
Brooklyn Heights,1100.0
Lower East Side,212.0
East Midtown-Turtle Bay,1883.0
West Village,734.0
Chelsea-Hudson Yards,1132.0
Hell's Kitchen,902.0
Chelsea-Hudson Yards,615.0
East Village,1592.0
Murray Hill-Kips Bay,140.0
Murray Hill-Kips Bay,342.0
Chelsea-Hudson Yards,575.0
Lower East Side,332.0
Midtown-Times Square,1103.0
Midtown-Times Square,382.0
Chelsea-Hudson Yards,1010.0
West Village,139.0
Fort Greene,637.0
Lower East Side,916.0
Williamsburg,1191.0
East Midtown-Turtle Bay,1153.0
Greenwich Village,871.0
Greenwich Village,687.0
Chelsea-Hudson Yards,311.0
Midtown-Times Square,374.0
Williamsburg,768.0
Midtown South-Flatiron-Union Square,960.0
SoHo-Little Italy-Hudson Square,756.0
West Village,476.0
Gramercy,831.0
Midtown-Times Square,241.0
East Midtown-Turtle Bay,232.0
Hell's Kitchen,692.0
Lower East Side,1139.0
Midtown-Times Square,793.0
Greenwich Village,1151.0
Gramercy,500.0
Midtown-Times Square,632.0
Tribeca-Civic Center,850.0
Chelsea-Hudson Yards,562.0
Greenwich Village,473.0
Midtown South-Flatiron-Union Square,464.0
Midtown South-Flatiron-Union Square,739.0
The Battery-Governors Island-Ellis Island-Liberty Island,1508.0
Greenwich Village,428.0
Lower East Side,1116.0
Chelsea-Hudson Yards,1258.0
Downtown Brooklyn-DUMBO-Boerum Hill,901.0
Midtown-Times Square,718.0
Brooklyn Navy Yard,443.0
East Midtown-Turtle Bay,682.0
Greenwich Village,358.0
Clinton Hill,147.0
Lower East Side,217.0
Chelsea-Hudson Yards,603.0
Greenwich Village,1225.0
Midtown South-Flatiron-Union Square,347.0
Downtown Brooklyn-DUMBO-Boerum Hill,1753.0
Chelsea-Hudson Yards,551.0
Upper West Side-Lincoln Square,548.0
Financial District-Battery Park City,1031.0
East Midtown-Turtle Bay,395.0
Financial District-Battery Park City,460.0
East Village,944.0
Midtown-Times Square,683.0
Williamsburg,1330.0
Murray Hill-Kips Bay,396.0
East Midtown-Turtle Bay,740.0
SoHo-Little Italy-Hudson Square,1143.0
Chelsea-Hudson Yards,501.0
East Village,539.0
SoHo-Little Italy-Hudson Square,1201.0
SoHo-Little Italy-Hudson Square,408.0
Midtown-Times Square,462.0
SoHo-Little Italy-Hudson Square,763.0
Greenwich Village,1491.0
Financial District-Battery Park City,1288.0
Central Park,565.0
Chinatown-Two Bridges,1108.0
East Village,801.0
Upper West Side-Lincoln Square,674.0
SoHo-Little Italy-Hudson Square,895.0
East Village,1114.0
Chelsea-Hudson Yards,566.0
Midtown South-Flatiron-Union Square,590.0
Chinatown-Two Bridges,490.0
Lower East Side,1153.0
Stuyvesant Town-Peter Cooper Village,1272.0
Greenwich Village,364.0
Midtown-Times Square,538.0
Murray Hill-Kips Bay,1123.0
Midtown-Times Square,657.0
Midtown South-Flatiron-Union Square,260.0
Midtown-Times Square,531.0
Chelsea-Hudson Yards,417.0
Midtown South-Flatiron-Union Square,611.0
Midtown South-Flatiron-Union Square,729.0
West Village,1558.0
Chelsea-Hudson Yards,889.0
East Midtown-Turtle Bay,315.0
Lower East Side,370.0
Midtown South-Flatiron-Union Square,216.0
Gramercy,974.0
Midtown-Times Square,558.0
Midtown-Times Square,301.0
Gramercy,508.0
Murray Hill-Kips Bay,514.0
SoHo-Little Italy-Hudson Square,534.0
Murray Hill-Kips Bay,583.0
Tribeca-Civic Center,725.0
East Village,1602.0
Downtown Brooklyn-DUMBO-Boerum Hill,348.0
SoHo-Little Italy-Hudson Square,1050.0
Midtown South-Flatiron-Union Square,351.0
West Village,879.0
Midtown-Times Square,842.0
Hell's Kitchen,1004.0
West Village,473.0
West Village,1378.0
Chelsea-Hudson Yards,2002.0
West Village,844.0
Chelsea-Hudson Yards,1086.0
SoHo-Little Italy-Hudson Square,535.0
Midtown-Times Square,1189.0
SoHo-Little Italy-Hudson Square,1120.0
Lower East Side,580.0
East Midtown-Turtle Bay,613.0
SoHo-Little Italy-Hudson Square,594.0
Chinatown-Two Bridges,1029.0
Chelsea-Hudson Yards,1443.0
Midtown-Times Square,849.0
SoHo-Little Italy-Hudson Square,1779.0
East Midtown-Turtle Bay,826.0
East Midtown-Turtle Bay,931.0
Williamsburg,1415.0
Upper West Side-Lincoln Square,667.0
Lower East Side,320.0
Midtown-Times Square,1918.0
Greenwich Village,339.0
Chelsea-Hudson Yards,236.0
Greenwich Village,232.0
Midtown-Times Square,440.0
West Village,195.0
Fort Greene,1447.0
Midtown South-Flatiron-Union Square,316.0
Greenwich Village,655.0
Lower East Side,620.0
The Battery-Governors Island-Ellis Island-Liberty Island,977.0
East Midtown-Turtle Bay,377.0
Chelsea-Hudson Yards,597.0
Financial District-Battery Park City,1350.0
Chelsea-Hudson Yards,733.0
West Village,655.0
Murray Hill-Kips Bay,337.0
Lower East Side,279.0
Tribeca-Civic Center,285.0
Hell's Kitchen,1629.0
Chelsea-Hudson Yards,308.0
Murray Hill-Kips Bay,544.0
Greenwich Village,874.0
Greenwich Village,954.0
Tribeca-Civic Center,569.0
Downtown Brooklyn-DUMBO-Boerum Hill,858.0
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,2069.0
East Midtown-Turtle Bay,593.0
Financial District-Battery Park City,1140.0
Midtown-Times Square,775.0
Chelsea-Hudson Yards,335.0
Murray Hill-Kips Bay,678.0
Brooklyn Heights,321.0
Murray Hill-Kips Bay,310.0
Gramercy,609.0
West Village,680.0
Hell's Kitchen,384.0
Midtown South-Flatiron-Union Square,590.0
Midtown-Times Square,393.0
Tribeca-Civic Center,772.0
East Village,1247.0
Midtown-Times Square,1872.0
SoHo-Little Italy-Hudson Square,432.0
Midtown South-Flatiron-Union Square,379.0
SoHo-Little Italy-Hudson Square,1645.0
SoHo-Little Italy-Hudson Square,431.0
West Village,189.0
East Midtown-Turtle Bay,1273.0
Chelsea-Hudson Yards,1325.0
West Village,872.0
Gramercy,814.0
Midtown South-Flatiron-Union Square,281.0
Lower East Side,390.0
West Village,1102.0
Upper West Side-Lincoln Square,857.0
Greenwich Village,503.0
Stuyvesant Town-Peter Cooper Village,468.0
Hell's Kitchen,704.0
Tribeca-Civic Center,569.0
Midtown-Times Square,563.0
Greenwich Village,410.0
Tribeca-Civic Center,296.0
Midtown-Times Square,396.0
SoHo-Little Italy-Hudson Square,911.0
East Village,318.0
Greenwich Village,408.0
Chelsea-Hudson Yards,1226.0
Midtown-Times Square,1158.0
Lower East Side,823.0
Gramercy,547.0
East Midtown-Turtle Bay,577.0
Upper West Side-Lincoln Square,486.0
Hell's Kitchen,355.0
Midtown South-Flatiron-Union Square,1485.0
SoHo-Little Italy-Hudson Square,888.0
Fort Greene,229.0
Williamsburg,1781.0
East Midtown-Turtle Bay,252.0
Lower East Side,322.0
Midtown-Times Square,1711.0
Murray Hill-Kips Bay,292.0
Hell's Kitchen,284.0
Downtown Brooklyn-DUMBO-Boerum Hill,1304.0
Murray Hill-Kips Bay,2065.0
Midtown-Times Square,609.0
West Village,799.0
Gramercy,217.0
Clinton Hill,497.0
Greenwich Village,985.0
Fort Greene,1507.0
Tribeca-Civic Center,516.0
Chinatown-Two Bridges,449.0
Lower East Side,374.0
East Village,269.0
Chelsea-Hudson Yards,621.0
Midtown-Times Square,2005.0
Midtown-Times Square,1750.0
Chinatown-Two Bridges,150.0
SoHo-Little Italy-Hudson Square,655.0
Tribeca-Civic Center,230.0
Central Park,1030.0
Murray Hill-Kips Bay,1312.0
Chelsea-Hudson Yards,899.0
Chelsea-Hudson Yards,322.0
Midtown-Times Square,755.0
SoHo-Little Italy-Hudson Square,534.0
Midtown-Times Square,673.0
East Village,1643.0
The Battery-Governors Island-Ellis Island-Liberty Island,1345.0
East Village,751.0
SoHo-Little Italy-Hudson Square,418.0
SoHo-Little Italy-Hudson Square,547.0
Tribeca-Civic Center,2149.0
East Midtown-Turtle Bay,1480.0
Fort Greene,109.0
SoHo-Little Italy-Hudson Square,831.0
Financial District-Battery Park City,376.0
Upper East Side-Lenox Hill-Roosevelt Island,1943.0
East Village,182.0
Gramercy,802.0
Gramercy,459.0
Chelsea-Hudson Yards,1793.0
Brooklyn Heights,939.0
Downtown Brooklyn-DUMBO-Boerum Hill,338.0
Financial District-Battery Park City,751.0
East Village,1049.0
Murray Hill-Kips Bay,760.0
Murray Hill-Kips Bay,867.0
Stuyvesant Town-Peter Cooper Village,711.0
East Midtown-Turtle Bay,503.0
Lower East Side,1702.0
East Midtown-Turtle Bay,287.0
Chelsea-Hudson Yards,426.0
East Village,216.0
Financial District-Battery Park City,1525.0
Midtown-Times Square,371.0
West Village,1351.0
Chelsea-Hudson Yards,743.0
Greenwich Village,329.0
SoHo-Little Italy-Hudson Square,726.0
West Village,518.0
Chelsea-Hudson Yards,851.0
Downtown Brooklyn-DUMBO-Boerum Hill,1248.0
Stuyvesant Town-Peter Cooper Village,378.0
SoHo-Little Italy-Hudson Square,651.0
Midtown South-Flatiron-Union Square,561.0
Lower East Side,629.0
West Village,196.0
The Battery-Governors Island-Ellis Island-Liberty Island,455.0
Chelsea-Hudson Yards,384.0
East Village,279.0
Greenwich Village,644.0
Financial District-Battery Park City,211.0
Gramercy,421.0
Hell's Kitchen,503.0
Midtown-Times Square,460.0
Williamsburg,1292.0
Murray Hill-Kips Bay,779.0
Greenwich Village,328.0
Chelsea-Hudson Yards,286.0
Murray Hill-Kips Bay,928.0
Midtown South-Flatiron-Union Square,1561.0
Chelsea-Hudson Yards,684.0
Hell's Kitchen,513.0
Murray Hill-Kips Bay,1592.0
West Village,377.0
Midtown South-Flatiron-Union Square,198.0
Chelsea-Hudson Yards,815.0
Fort Greene,437.0
West Village,833.0
Gramercy,271.0
Greenwich Village,659.0
Lower East Side,269.0
