start_neighborhood,trip_duration
Brooklyn Heights,2124.0
Fort Greene,1357.0
SoHo-Little Italy-Hudson Square,1196.0
Brooklyn Heights,761.0
Chelsea-Hudson Yards,196.0
Financial District-Battery Park City,1194.0
SoHo-Little Italy-Hudson Square,764.0
Chinatown-Two Bridges,541.0
Greenwich Village,251.0
East Village,498.0
Murray Hill-Kips Bay,584.0
Greenwich Village,448.0
Lower East Side,116.0
Lower East Side,989.0
Midtown-Times Square,284.0
Midtown-Times Square,418.0
Tribeca-Civic Center,1116.0
Financial District-Battery Park City,1657.0
Chelsea-Hudson Yards,999.0
SoHo-Little Italy-Hudson Square,335.0
Financial District-Battery Park City,1346.0
SoHo-Little Italy-Hudson Square,399.0
Chinatown-Two Bridges,357.0
Chelsea-Hudson Yards,1163.0
Greenwich Village,643.0
Stuyvesant Town-Peter Cooper Village,329.0
East Midtown-Turtle Bay,130.0
Chelsea-Hudson Yards,184.0
Tribeca-Civic Center,592.0
West Village,473.0
Greenwich Village,218.0
Williamsburg,1454.0
Williamsburg,411.0
SoHo-Little Italy-Hudson Square,752.0
West Village,652.0
West Village,380.0
Stuyvesant Town-Peter Cooper Village,156.0
SoHo-Little Italy-Hudson Square,1569.0
Chelsea-Hudson Yards,767.0
Brooklyn Heights,1028.0
Tribeca-Civic Center,505.0
Greenwich Village,456.0
Gramercy,949.0
West Village,303.0
Murray Hill-Kips Bay,198.0
Chelsea-Hudson Yards,592.0
Chelsea-Hudson Yards,783.0
Lower East Side,1099.0
Hell's Kitchen,840.0
Midtown South-Flatiron-Union Square,310.0
Greenwich Village,239.0
Hell's Kitchen,926.0
East Midtown-Turtle Bay,1253.0
Murray Hill-Kips Bay,702.0
Gramercy,237.0
Brooklyn Heights,491.0
Chelsea-Hudson Yards,1805.0
West Village,395.0
Chinatown-Two Bridges,1365.0
Midtown-Times Square,193.0
Hell's Kitchen,1150.0
West Village,1253.0
Midtown South-Flatiron-Union Square,805.0
Midtown-Times Square,381.0
Midtown-Times Square,698.0
East Midtown-Turtle Bay,1073.0
Midtown-Times Square,1316.0
East Village,1768.0
Financial District-Battery Park City,1384.0
East Village,832.0
Midtown South-Flatiron-Union Square,595.0
Chelsea-Hudson Yards,565.0
Chinatown-Two Bridges,863.0
Midtown South-Flatiron-Union Square,676.0
East Village,362.0
Financial District-Battery Park City,468.0
Chinatown-Two Bridges,1023.0
Chelsea-Hudson Yards,1219.0
SoHo-Little Italy-Hudson Square,477.0
